,User,Week,freq_week
930,user16561,2023-06,2
931,user16561,2023-07,15
932,user16561,2023-08,10
933,user16561,2023-09,10
934,user16563,2023-05,17
935,user16563,2023-06,4
936,user16563,2023-07,15
937,user16563,2023-08,6
938,user16563,2023-09,35
939,user16564,2023-02,2
940,user16564,2023-03,2
941,user16564,2023-05,6
942,user16564,2023-07,9
943,user16564,2023-09,4
944,user16582,2023-02,39
945,user16582,2023-03,28
946,user16582,2023-05,42
947,user16582,2023-06,9
948,user16582,2023-07,43
949,user16582,2023-08,3
950,user16582,2023-09,27
951,user16587,2023-02,2
952,user16587,2023-03,1
953,user16587,2023-05,6
954,user16587,2023-06,7
955,user16587,2023-07,7
956,user16587,2023-08,1
957,user16587,2023-09,4
958,user16589,2023-05,12
959,user16589,2023-06,3
960,user16589,2023-07,3
961,user16589,2023-08,4
962,user16589,2023-09,3
963,user16591,2023-02,7
964,user16591,2023-03,16
965,user16591,2023-05,41
966,user16591,2023-06,12
967,user16591,2023-07,2
968,user16591,2023-09,3
969,user16591,2023-10,23
970,user16601,2023-05,7
971,user16601,2023-07,17
972,user16601,2023-08,2
973,user16603,2023-02,3
974,user16603,2023-03,3
975,user16603,2023-05,10
976,user16603,2023-06,1
977,user16603,2023-07,1
978,user16603,2023-08,1
979,user16603,2023-09,3
980,user16603,2023-10,3
981,user16620,2023-02,22
982,user16620,2023-05,48
983,user16620,2023-08,13
984,user16620,2023-09,66
985,user16632,2023-02,36
986,user16632,2023-03,141
987,user16632,2023-05,28
988,user16632,2023-06,40
989,user16632,2023-07,31
990,user16632,2023-08,10
991,user16632,2023-09,35
992,user16647,2023-03,7
993,user16647,2023-05,3
994,user16647,2023-09,14
995,user16655,2023-02,25
996,user16655,2023-03,18
997,user16655,2023-05,9
998,user16655,2023-06,3
999,user16655,2023-07,7
1000,user16655,2023-08,5
1001,user16655,2023-09,17
1002,user16657,2023-02,14
1003,user16657,2023-03,32
1004,user16657,2023-05,25
1005,user16657,2023-06,2
1006,user16657,2023-07,10
1007,user16657,2023-08,37
1008,user16657,2023-09,20
1009,user16671,2023-02,20
1010,user16671,2023-03,28
1011,user16671,2023-05,11
1012,user16671,2023-07,3
1013,user16671,2023-08,13
1014,user16671,2023-09,41
1015,user16672,2023-02,31
1016,user16672,2023-03,23
1017,user16672,2023-05,37
1018,user16672,2023-06,17
1019,user16672,2023-07,43
1020,user16672,2023-08,10
1021,user16672,2023-09,39
1022,user16672,2023-10,5
1023,user16674,2023-02,6
1024,user16674,2023-05,6
1025,user16674,2023-06,5
1026,user16674,2023-07,14
1027,user16674,2023-08,18
1028,user16674,2023-09,15
1029,user16674,2023-10,12
1030,user16676,2023-02,29
1031,user16676,2023-03,28
1032,user16676,2023-05,8
1033,user16676,2023-07,21
1034,user16676,2023-08,40
1035,user16676,2023-09,17
1036,user16685,2023-02,49
1037,user16685,2023-03,9
1038,user16685,2023-05,8
1039,user16685,2023-06,2
1040,user16685,2023-07,18
1041,user16685,2023-08,30
1042,user16685,2023-09,24
1043,user16685,2023-10,1
1044,user16689,2023-05,14
1045,user16689,2023-08,5
1046,user16689,2023-09,6
1047,user16702,2023-02,1
1048,user16702,2023-03,2
1049,user16702,2023-05,8
1050,user16702,2023-06,3
1051,user16702,2023-09,10
1052,user16704,2023-02,21
1053,user16704,2023-03,35
1054,user16704,2023-05,10
1055,user16704,2023-06,10
1056,user16704,2023-07,6
1057,user16704,2023-08,9
1058,user16704,2023-09,12
1059,user16704,2023-10,5
1060,user16707,2023-02,2
1061,user16707,2023-05,66
1062,user16707,2023-06,13
1063,user16707,2023-07,4
1064,user16707,2023-08,4
1065,user16707,2023-09,7
